Iteration Per Action,Score,Chosen element number,Percentile
8,5092,2,10
8,9976,2,10
8,5356,2,10
8,4460,2,10
8,2876,2,10
8,6504,2,10
8,10660,2,10
8,2848,2,10
8,2856,2,10
8,6716,2,10
8,2804,2,10
8,6852,2,10
8,11456,2,10
8,5852,2,10
8,5068,2,10
8,1208,2,10
8,6564,2,10
8,6616,2,10
8,5808,2,10
8,6348,2,10
8,11348,2,10
8,5656,2,10
8,6684,2,10
8,5344,2,10
8,6540,2,10
8,10844,2,10
8,4988,2,10
8,5880,2,10
8,2888,2,10
8,2708,2,10
8,6724,2,10
8,15324,2,10
8,14416,2,10
8,7428,2,10
8,3088,2,10
8,2820,2,10
8,6608,2,10
8,4312,2,10
8,2956,2,10
8,2876,2,10
8,10744,2,10
8,6672,2,10
8,11404,2,10
8,7344,2,10
8,6572,2,10
8,9712,2,10
8,6648,2,10
8,9808,2,10
8,5096,2,10
8,6696,2,10
8,6512,2,10
8,6588,2,10
8,6024,2,10
8,6532,2,10
8,11380,2,10
8,7020,2,10
8,6572,2,10
8,7040,2,10
8,6912,2,10
8,7116,2,10
8,11420,2,10
8,3532,2,10
8,2264,2,10
8,2944,2,10
8,6528,2,10
8,6664,2,20
8,6124,2,20
8,6688,2,20
8,11552,2,20
8,5060,3,30
8,10016,3,30
8,10760,3,30
8,11420,3,30
8,6672,3,30
8,6924,3,30
8,6732,3,30
8,5296,3,30
8,11560,3,30
8,6536,3,30
8,6652,3,30
8,2920,3,30
8,14420,3,30
8,14520,3,30
8,13080,3,30
8,6612,3,30
8,4876,3,30
8,5184,3,30
8,5804,3,30
8,6744,3,30
8,11512,3,30
8,10932,3,30
8,10604,3,30
8,2608,3,30
8,13452,3,30
8,6568,3,30
8,2132,3,30
8,10996,3,30
8,4232,3,30
8,6648,3,30
8,11076,3,30
8,6200,3,30
8,6716,3,30
8,13596,3,30
8,11376,3,30
8,6144,3,30
8,3536,3,30
8,7184,3,30
8,6640,3,30
8,2500,3,30
8,4216,3,30
8,5500,3,30
8,11476,3,30
8,14244,3,30
8,11640,3,30
8,6336,3,30
8,6524,3,30
8,2492,3,30
8,9828,3,30
8,5884,3,30
8,5840,3,30
8,2792,3,30
8,5000,3,30
8,6384,3,30
8,6556,3,30
8,5860,3,30
8,11352,3,30
8,7212,3,30
8,6812,3,30
8,11400,3,30
8,10108,3,30
8,2980,3,30
8,6596,3,30
8,11336,3,30
8,2908,3,30
8,11344,3,30
8,2888,3,30
8,11264,3,30
8,6632,3,30
8,11316,3,30
8,6652,3,30
8,2388,3,30
8,6544,3,30
8,13524,3,30
8,2668,3,30
8,11372,3,30
8,4920,3,30
8,2884,3,30
8,11436,3,30
8,5076,3,30
8,10860,3,30
8,11408,3,30
8,11564,3,30
8,3008,3,30
8,2804,3,30
8,5608,3,30
8,5588,3,30
8,6804,3,30
8,6612,3,30
8,13172,3,30
8,6572,3,30
8,5884,3,30
8,6064,3,30
8,6312,3,30
8,11352,3,30
8,14200,3,30
8,6224,3,30
8,5688,3,30
8,6840,3,30
8,2900,3,30
8,5032,3,30
8,4456,4,40
8,5936,3,30
8,11288,3,30
8,4912,4,40
8,11448,4,40
8,5812,4,40
8,10828,4,40
8,2680,4,40
8,6412,4,40
8,2776,4,40
8,2820,4,40
8,6660,4,40
8,6316,4,40
8,5216,4,40
8,4976,4,40
8,9776,4,40
8,5944,4,40
8,2940,4,40
8,11340,4,40
8,7104,4,40
8,9356,4,40
8,5048,4,40
8,4780,4,40
8,6748,4,40
8,364,4,40
8,6540,4,40
8,6692,4,40
8,11408,4,40
8,6268,4,40
8,5040,4,40
8,13492,4,40
8,5076,4,40
8,11372,4,40
8,6580,4,40
8,6852,4,40
8,2812,4,40
8,6676,4,40
8,5068,4,40
8,6036,4,40
8,6636,4,40
8,4936,4,40
8,6680,4,40
8,6720,4,40
8,10396,4,40
8,13640,4,40
8,2936,4,40
8,6608,4,40
8,5328,4,40
8,9632,4,40
8,4976,4,40
8,9200,4,40
8,6748,4,40
8,2816,4,40
8,8372,4,40
8,2820,4,40
8,5684,4,40
8,7176,4,40
8,11024,4,40
8,11456,4,40
8,6560,4,40
8,6576,4,40
8,6448,4,40
8,5340,4,40
8,6796,4,40
8,1304,4,40
8,6004,4,40
8,5660,4,40
8,6632,4,40
8,3084,4,40
8,3152,4,40
8,5160,4,40
8,11520,4,40
8,6456,4,40
8,11024,4,40
8,6756,4,40
8,4584,4,40
8,13616,4,40
8,6416,4,40
8,2524,4,40
8,11316,4,40
8,12740,4,40
8,2756,4,40
8,3288,4,40
8,6632,4,40
8,11032,4,40
8,2768,4,40
8,5084,4,40
8,5092,4,40
8,2468,4,40
8,1244,4,40
8,5044,4,40
8,11372,4,40
8,6648,4,40
8,4836,4,40
8,6576,4,40
8,5752,4,40
8,11276,4,40
8,4972,4,40
8,4460,4,40
8,2856,4,40
8,5032,4,40
8,6624,4,40
8,14628,4,40
8,9448,4,40
8,14912,4,40
8,6296,4,40
8,2680,5,50
