Iteration Per Action,Score,Chosen element number,Percentile
32,11452,20,60
32,5352,20,60
32,7072,20,60
32,24464,20,60
32,5880,20,60
32,2936,20,60
32,15216,20,60
32,13460,20,60
32,11628,20,60
32,14832,20,60
32,14720,20,60
32,11800,20,60
32,7232,20,60
32,11656,20,60
32,15068,20,60
32,12812,20,60
32,14888,20,60
32,6792,20,60
32,14912,20,60
32,6600,20,60
32,6736,20,60
32,15100,20,60
32,11776,20,60
32,15180,20,60
32,25356,20,60
32,14500,20,60
32,10624,20,60
32,14904,20,60
32,3228,20,60
32,11624,20,60
32,13040,20,60
32,14720,20,60
32,14828,20,60
32,13968,23,70
32,6624,23,70
32,6820,23,70
32,9740,23,70
32,6428,23,70
32,6640,23,70
32,13160,23,70
32,11596,23,70
32,13688,23,70
32,6644,23,70
32,13652,23,70
32,6844,23,70
32,6596,23,70
32,13636,23,70
32,15496,23,70
32,6860,23,70
32,9708,23,70
32,4884,23,70
32,25576,23,70
32,13632,23,70
32,14952,23,70
32,13644,23,70
32,14688,23,70
32,14372,23,70
32,15132,23,70
32,6996,23,70
32,11560,23,70
32,2932,23,70
32,14836,23,70
32,11532,23,70
32,13684,23,70
32,6624,23,70
32,13720,23,70
32,14712,23,70
32,13704,23,70
32,5916,23,70
32,6616,23,70
32,24352,23,70
32,13864,23,70
32,13784,23,70
32,14492,23,70
32,9480,23,70
32,3364,23,70
32,14472,23,70
32,13856,23,70
32,5124,23,70
32,11136,23,70
32,25320,23,70
32,6552,23,70
32,14280,23,70
32,24852,23,70
32,6652,23,70
32,12808,23,70
32,11420,23,70
32,13324,23,70
32,15344,23,70
32,5924,23,70
32,5324,23,70
32,14456,23,70
32,6612,23,70
32,24804,23,70
32,13120,23,70
32,14920,23,70
32,6336,23,70
32,15316,23,70
32,13468,23,70
32,6536,23,70
32,14692,23,70
32,6436,23,70
32,15240,23,70
32,14764,23,70
32,6480,23,70
32,6628,23,70
32,6644,23,70
32,9780,23,70
32,5944,23,70
32,6596,23,70
32,11292,23,70
32,5836,23,70
32,6864,23,70
32,11472,23,70
32,13528,23,70
32,14572,23,70
32,19548,23,70
32,6852,23,70
32,6452,23,70
32,12764,23,70
32,11188,23,70
32,14844,23,70
32,11540,23,70
32,13424,23,70
32,6148,23,70
32,30444,23,70
32,14280,23,70
32,4000,23,70
32,21920,23,70
32,14432,23,70
32,15040,23,70
32,14332,23,70
32,6688,23,70
32,10900,23,70
32,15080,23,70
32,6588,23,70
32,9740,26,80
32,14488,26,80
32,2768,26,80
32,2904,26,80
32,13912,26,80
32,13548,26,80
32,14484,26,80
32,14932,26,80
32,15160,26,80
32,25184,26,80
32,6640,26,80
32,11272,26,80
32,6676,26,80
32,11424,26,80
32,5860,26,80
32,14428,26,80
32,5112,26,80
32,10756,26,80
32,5892,26,80
32,6560,26,80
32,592,26,80
32,12776,26,80
